set,size_in_universe
H1_pigment_bikaverin,0
H1_pigment_fusarubin,0
H3_CAZy_PL_all,1
H3_CAZy_CE_all,2
H1_pigment_carotenoid,4
H3_CAZy_AA_all,4
H5_Ehrlich_fusel,4
H2_conidiation_core,5
H2_light_response,5
H4_RNAi_antiviral,5
H5_fatty_acid_oxylipin,5
H2_velvet_LaeA,6
H2_MAPK_signaling,8
H3_carbon_catabolite_repr,8
H2_cAMP_PKA,11
H1_pigment_melanin_DHN,14
H1_pigment_PKS_backbone,18
H5_terpene_synthases,21
H4_pentose_phosphate,24
H4_oxidative_stress,27
H4_glutathione_detox,28
H3_CAZy_GT_all,59
H4_sulfur_methionine,67
H3_CAZy_GH_all,69
H4_secondary_metab_backbone,69
H4_cytochrome_P450,69
H5_methyltransferases_SAM,70
H2_sporulation_GO,117
H5_alcohol_aldehyde_DH,144
H5_esterases_lipases,163
H3_alt_carbon_pathways,193
H3_glycolysis_TCA,204
H3_sugar_transporters,272
